,Country ,Capital ,Native /Official Language
88,Guatemala,Ciudad de Guatemala,"Spanish
"
89,Guernsey,Saint Peter Port,"English
"
90,GuinéeGineGine,ConakryKɔnakiriKonakiri,"FrenchManinka, SusuPular
"
91,Guiné-Bissau,Bissau,"Portuguese
"
92,Guyana,Georgetown,"English
"
93,HaïtiAyiti,Port-au-PrincePòtoprens,"FrenchHaitian Creole
"
94,Honduras,Tegucigalpa,"Spanish
"
95,Hong KongHeung Gong香港,Hong KongHeung Gong香港,"EnglishCantonese(Traditional Chinese characters)
"
96,Magyarország,Budapest,"Hungarian
"
97,Ísland,Reykjavík,"Icelandic
"
98,BharôtভাৰতBharôtভারতIndiaBhāratભારતBhāratभारतBhārataಭಾರತBhāratभारतBhāratamഭാരതംBhāratभारतBhāratभारतBhārataଭାରତBhāratਭਾਰਤBhāratamभारतम्Bārataபாரதம்Bhāratadēsamభారత దేశం,Nôtun Dilliনতুন দিল্লীNôtun Dilliনতুন দিল্লীNew DelhiNavī Dilhīનવી દિલ્હીNaī Dillīनई दिल्लीNava Dehaliನವ ದೆಹಲಿNavī Dillīनवी दिल्लीNyūḍalhiന്യൂഡല്ഹിNavī Dillīनवी दिल्लीNaya Dilliनयाँ दिल्लीNuā Dilliନୂଆ ଦିଲ୍ଲୀNavīñ Dillīਨਵੀਂ ਦਿੱਲੀNav Dilliनव दिल्लीPududilliபுது தில்லிKrothha ḍhillīక్రొత్త ఢిల్లీ,"Assamese(Assamese script)Bengali(Bengali script)EnglishGujarati(Gujarāti script)Hindi(Devanagari script)Kannada(Kannada script)Konkani(Devanagari script)Malayalam(Malayalam script)Marathi(Devanagari script)Nepalese(Devanagari script)Odia(Odia script)Punjabi(Gurmukhi script)Sanskrit(Devanagari script)Tamil(Tamil script)Telugu(Telugu script)
"
99,Indonesia,Jakarta,"Bahasa Indonesia
"
100,"Īrānایران
",Tehrānتهران,"Persian(Persian script)
"
101,Al-'IraqالعراقÊraq عێراق,BaghdadبغدادBexda بەغدا,"Arabic(Arabic script)Kurdish
"
