,Period Name,Description,Temperature
0,Today,Hot,High: 98 °F
1,Tonight,IsolatedT-storms,Low: 70 °F
2,Monday,IsolatedT-storms thenMostly Sunny,High: 98 °F
3,MondayNight,Mostly Clear,Low: 66 °F
4,Tuesday,Hot,High: 97 °F
5,TuesdayNight,Clear,Low: 62 °F
6,Wednesday,Sunny,High: 93 °F
7,WednesdayNight,Clear,Low: 60 °F
8,Thursday,Sunny,High: 95 °F
